,,vs mejor embedding,,,,,,,,,,,,,,,,,,,,
Embeddings,Pesos,Media (Diferencia),Media Ponderada (Diferecia),Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
GLOVE+UKB,"[1,8]",0.003,0.028,0.632,0.597,0.5247912005,0.5558941786,0.6778241376,0.7545555105,0.755600902,0.7556003736,0.7117175423,0.6199518909,0.77953153,0.7638347768,0.5884580599,0.8232890075,0.2761651385,0.8732614262,0.7677522467,0.545215993,0.440751662
GLOVE+LEXVEC,"[1,1]",-0.001,0.001,0.628,0.571,0.4767368999,0.7169934708,0.7383525049,0.807299584,0.8054573737,0.8065785232,0.7366799672,0.6735950447,0.8051334363,0.7151645789,0.702881398,0.7439105717,0.4410404784,0.7842439516,0.5784218886,0.3521926761,0.531547714
GLOVE+LEXVEC,"[2,1]",-0.001,0.001,0.628,0.571,0.4767336561,0.7169934708,0.7383598232,0.8073023674,0.8054615691,0.8065824092,0.7366788759,0.6735920451,0.805127698,0.7151645789,0.702881398,0.7439105717,0.4410404784,0.7842439516,0.5784218886,0.3521903758,0.5315467974
GLOVE+LEXVEC,"[1,2]",-0.001,0.001,0.628,0.571,0.476738284,0.7169411821,0.7383525049,0.8072998954,0.80544606,0.8065777794,0.7366799672,0.6735950447,0.8051334363,0.7151645789,0.702881398,0.7439105717,0.440616138,0.7842439516,0.5782468107,0.3521949474,0.5315463333
GLOVE+LEXVEC,"[8,1]",-0.001,0.001,0.628,0.571,0.4768940336,0.7169569195,0.7384907002,0.8074120509,0.8055909293,0.8067040757,0.7367843189,0.673606668,0.80521951,0.7153254167,0.7027831413,0.7439105717,0.4406201602,0.7842439516,0.5786544139,0.3521930582,0.5316294493
GLOVE+LEXVEC,"[1,8]",-0.001,0.001,0.628,0.571,0.476738284,0.7169411821,0.7383525049,0.8072998954,0.80544606,0.8065777794,0.7366799672,0.6735950447,0.8051334363,0.7151645789,0.702881398,0.7439105717,0.440616138,0.7842439516,0.5782468107,0.3521956046,0.5315453707
GLOVE+SKE,"[1,1]",-0.019,-0.024,0.610,0.545,0.4121213515,0.7427215565,0.714329921,0.7889579393,0.7898869877,0.7893558849,0.7428083442,0.6861711095,0.7702656957,0.728701763,0.7089523139,0.7135535653,0.4699257901,0.7123623408,0.5822079486,0.3149255649,0.5147582276
GLOVE+SKE,"[2,1]",-0.019,-0.024,0.610,0.545,0.4121213515,0.7427215565,0.71432763,0.7889567719,0.7898881041,0.7893555008,0.7428083442,0.6861711095,0.7702656957,0.728701763,0.7089523139,0.7135535653,0.4699257901,0.7123623408,0.5822079486,0.3149256907,0.5147619377
GLOVE+SKE,"[1,2]",-0.019,-0.024,0.610,0.545,0.4121183905,0.7427215565,0.714329921,0.7889567899,0.7898843589,0.789355062,0.7428083442,0.6861711095,0.7702656957,0.728701763,0.7089523139,0.7135535653,0.4699257901,0.7123623408,0.5822079486,0.3149248813,0.5147605294
GLOVE+SKE,"[8,1]",-0.019,-0.024,0.610,0.545,0.4120969058,0.742640839,0.7143724427,0.7889856878,0.7899205087,0.789379436,0.7428083442,0.6861711095,0.7702656957,0.728701763,0.7089523139,0.7135535653,0.470362197,0.7123623408,0.5824131181,0.3149483757,0.5148143419
