,vs media (NO MAPPING),,vs mejor word embedding,,,,,,,,,,,,,,,,,,,,
Embeddings,,,Media (Diferencia),Media Ponderada (Diferecia),Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
Normalize: False. Generate words: False,,,,,,,,,,,,,,,,,,,,,,,
GLOVE+W2V,0.038,0.046,0.014,0.004,0.643,0.575,0.4472176721,0.7072649749,0.7370694463,0.8256630776,0.8266424948,0.8261625696,0.7605691383,0.7019113439,0.8207091905,0.7507248182,0.701246286,0.8458218179,0.4271961224,0.8409925916,0.5905788617,0.355596124,0.5303359949
GLOVE+FT,0.042,0.043,-0.006,-0.016,0.669,0.604,0.478973441,0.7408015956,0.7702116226,0.8507367727,0.8519469933,0.8512964079,0.7972300015,0.7425686168,0.8463103795,0.7766632692,0.7523277852,0.8513730631,0.4349026262,0.8443307469,0.6369909244,0.383068805,0.5655192466
GLOVE+jointcHYB,0.044,0.045,0.032,0.013,0.686,0.619,0.5312134273,0.7254101795,0.77539443,0.8397473637,0.8498321316,0.8431569163,0.8025850848,0.7376230787,0.8537543204,0.8095646581,0.7320651472,0.8819486225,0.4136091861,0.867697834,0.7697109309,0.4837147798,0.4491852244
GLOVE+UKB,0.057,0.059,0.079,0.030,0.709,0.640,0.54190096,0.7515644438,0.784815143,0.8530397553,0.8592893259,0.8553301501,0.8225503595,0.7700750326,0.8664408672,0.8301803822,0.7561327958,0.8883522242,0.4440390163,0.897518688,0.8065019147,0.4963239491,0.5049726174
GLOVE+LEXVEC,0.045,0.055,0.011,0.005,0.641,0.578,0.4618468306,0.7294067138,0.7539979753,0.8298223811,0.8306923396,0.8302238106,0.775555678,0.7291957917,0.8247905187,0.7552249266,0.7369697331,0.776474963,0.399390767,0.8093913881,0.6284230486,0.3487813103,0.5368265039
W2V+FT,0.018,0.013,-0.011,-0.016,0.664,0.604,0.481772468,0.7277662183,0.7470214702,0.8283062666,0.8314779958,0.8294073833,0.7512900223,0.6920266417,0.8188306319,0.7253442733,0.7021583485,0.8505644171,0.4791949122,0.8681429214,0.5912244616,0.4007799823,0.5786801072
W2V+jointcHYB,0.021,0.021,0.026,0.015,0.680,0.621,0.5429815179,0.6997425051,0.7439770109,0.8150585914,0.8198781267,0.8168471906,0.7774708384,0.7153164144,0.8390866438,0.7729036849,0.701858328,0.8894231338,0.4422491446,0.8672527467,0.7268715521,0.5123263748,0.4651874627
W2V+UKB,0.039,0.025,0.070,0.033,0.700,0.643,0.5550249866,0.7405000613,0.7605906076,0.8253905617,0.8287418295,0.8267344482,0.7790332492,0.7200129884,0.8405807398,0.7788965695,0.7020278396,0.88656009,0.458992182,0.8859464163,0.761184089,0.5301092463,0.5182930496
W2V+LEXVEC,0.022,0.021,0.012,0.008,0.642,0.581,0.4671850436,0.7180011711,0.7383096953,0.8148902539,0.8163016143,0.8154647529,0.7415731748,0.6834501262,0.8129969865,0.7288776794,0.6962944468,0.8139349407,0.4554760954,0.822298922,0.5710932362,0.3661763085,0.5502682472
FT+jointcHYB,0.028,0.024,0.030,0.028,0.705,0.648,0.5730299332,0.717857504,0.7802649758,0.8479102926,0.8516199887,0.8493491305,0.809869924,0.7518290339,0.8615733992,0.7994871627,0.746661147,0.9122182077,0.4205635416,0.8888394843,0.7750617499,0.5383444936,0.4854999836
FT+UKB,0.020,0.020,0.052,0.049,0.727,0.669,0.5785496369,0.7548637103,0.7919372664,0.8583456647,0.8635182211,0.8602268003,0.8180550524,0.7704109843,0.8667700991,0.8067231897,0.7633055372,0.9045251434,0.5009750365,0.8926227269,0.8041438339,0.5469279607,0.54642875
FT+LEXVEC,0.011,0.006,-0.004,-0.010,0.671,0.610,0.4954381758,0.7429731009,0.7765104132,0.8425810962,0.8417880502,0.8422614096,0.780664955,0.7253608437,0.8398720663,0.7449782165,0.7479384845,0.8335391414,0.4689302996,0.8454434654,0.6206266099,0.3932683891,0.5807910567
jointcHYB+UKB,0.037,0.033,0.009,0.005,0.663,0.615,0.5514477413,0.6644095381,0.7027856142,0.7855893645,0.7969265515,0.7894151958,0.769677063,0.6983456072,0.8380767123,0.7853887216,0.6881053859,0.8788014598,0.2624756365,0.900411756,0.8294453291,0.571819056,0.3761073813
jointcHYB+LEXVEC,0.028,0.021,0.034,0.024,0.688,0.630,0.5552697386,0.7203376651,0.7741045899,0.8351458908,0.8431501104,0.8377690078,0.798603488,0.7365117386,0.8523663819,0.7887344835,0.7428981392,0.8711958167,0.4074371453,0.871258533,0.7581940864,0.5047579796,0.4738279755
UKB+LEXVEC,0.024,0.017,0.071,0.034,0.701,0.644,0.5543087793,0.7430926542,0.7841858152,0.8433730186,0.8469956306,0.8446835327,0.8116563158,0.7606732609,0.8625352728,0.8011642322,0.7614026568,0.8765940749,0.4237149224,0.8567931934,0.7885126583,0.5110968872,0.5212020775
GLOVE+W2V+FT,0.035,0.034,-0.012,-0.021,0.663,0.599,0.4700907559,0.7280395919,0.7596246415,0.8402219458,0.8426893342,0.8411826863,0.7800078804,0.7228550793,0.8330815683,0.7612312144,0.7329622086,0.8626722512,0.4470093989,0.848559077,0.6144195505,0.3821578808,0.5642320768
GLOVE+W2V+jointcHYB,0.037,0.040,0.026,0.009,0.680,0.615,0.5137529484,0.7229698696,0.7689506234,0.8354122609,0.8425119763,0.8379482014,0.7964378835,0.739135236,0.8468605339,0.7920534392,0.7295284734,0.8919146375,0.4293681015,0.8596862613,0.7050169035,0.4554061676,0.5020201672
GLOVE+W2V+UKB,0.044,0.046,0.067,0.021,0.697,0.631,0.5238471341,0.7500186265,0.7802606948,0.8456100018,0.8503151211,0.8473246715,0.8083357365,0.7570989004,0.8573529185,0.8029217206,0.7446134109,0.8970069215,0.4408876354,0.8799377368,0.7325561134,0.4646958084,0.5397016608
GLOVE+W2V+LEXVEC,0.044,0.050,0.019,0.011,0.649,0.584,0.4611330065,0.7266856692,0.7536415295,0.8286254908,0.8311588417,0.8296447489,0.7706574233,0.7178473001,0.8274157667,0.7539533025,0.7253581877,0.827681922,0.4306190006,0.8202960288,0.6135824592,0.3594038458,0.5470051459
GLOVE+FT+jointcHYB,0.037,0.036,0.021,0.014,0.696,0.634,0.5363272253,0.7377061536,0.790678079,0.8541303697,0.8600308377,0.8562417413,0.8145687511,0.758852148,0.8632389254,0.8055990003,0.756441817,0.8982308181,0.4281574242,0.8623567856,0.7399285352,0.4732075451,0.5213448237
GLOVE+FT+UKB,0.046,0.043,0.039,0.029,0.714,0.649,0.5436945296,0.763560646,0.8005357856,0.8628012048,0.8675142283,0.8646082724,0.8270252056,0.7790613642,0.8726769071,0.8182666549,0.7732752201,0.8942312989,0.4661107489,0.8843886105,0.7682638025,0.4793541348,0.5625597639
GLOVE+FT+LEXVEC,0.035,0.035,-0.009,-0.019,0.666,0.601,0.4801542491,0.742474835,0.7723318257,0.8451186027,0.8453598751,0.8453792624,0.7925205347,0.7410050919,0.8417664051,0.7645434685,0.756807092,0.8252778394,0.4349247482,0.8523423197,0.6394529576,0.3769531248,0.5652239408
GLOVE+jointcHYB+UKB,0.048,0.048,0.051,0.031,0.705,0.641,0.5591768023,0.7400670151,0.7731683287,0.8442984786,0.8549853462,0.8480122246,0.817894228,0.7584820763,0.8677714232,0.8245242518,0.7480254905,0.8939690354,0.4130641802,0.8941805327,0.8267015298,0.5422599199,0.4438926348
GLOVE+jointcHYB+LEXVEC,0.044,0.046,0.028,0.045,0.682,0.618,0.5222565626,0.7361618592,0.7840835695,0.8425500782,0.8495240091,0.8449472154,0.8030480516,0.7490585577,0.8501119681,0.7948530227,0.7468306586,0.8557878329,0.4141461476,0.8510070575,0.7337378893,0.4480668594,0.5091717642
GLOVE+UKB+LEXVEC,0.045,0.051,0.064,0.020,0.694,0.630,0.526694553,0.7565328884,0.7919241617,0.8498741139,0.8541325761,0.8513796874,0.8160566834,0.7699258041,0.8610985592,0.8046758582,0.7641455947,0.8538208563,0.423946198,0.8567931934,0.7609597705,0.4540606957,0.5434143633
W2V+FT+jointcHYB,0.030,0.024,0.020,0.015,0.695,0.635,0.5427140956,0.7225655203,0.7729962916,0.8384978054,0.8451713956,0.8407510805,0.7930455669,0.7372395089,0.8467106222,0.7769832695,0.7286771651,0.9012905596,0.4600915511,0.878379931,0.7117820238,0.4911206639,0.5277144032
W2V+FT+UKB,0.040,0.026,0.038,0.031,0.713,0.651,0.5504685712,0.753915406,0.7862620303,0.8482155719,0.85369055,0.8500970468,0.799791324,0.7485625041,0.8550855937,0.7883994047,0.7362579344,0.8973128957,0.5034627571,0.8946256201,0.7376798781,0.5010727965,0.567737567
W2V+FT+LEXVEC,0.023,0.015,-0.009,-0.018,0.666,0.602,0.4821107298,0.7379191159,0.7633638737,0.8330943938,0.8359267607,0.8341142604,0.7662975687,0.7115950751,0.8271475036,0.7392533949,0.725172175,0.8525969597,0.4758806329,0.8494492517,0.6062346577,0.3888070588,0.5737219764
W2V+jointcHYB+UKB,0.043,0.034,0.043,0.033,0.697,0.643,0.5694910776,0.7267536953,0.753433595,0.8258664802,0.8329921696,0.8284663722,0.7953505798,0.7380497672,0.8519976995,0.7966842284,0.7192295179,0.8979466993,0.3868797648,0.8863915037,0.8004945535,0.5621285485,0.4604615304
W2V+jointcHYB+LEXVEC,0.035,0.028,0.031,0.048,0.685,0.621,0.5296559014,0.7252797115,0.769259874,0.829596893,0.8373614686,0.832206285,0.7908168058,0.7349268418,0.844138453,0.776160651,0.7294099653,0.8863633923,0.4490385905,0.8683654651,0.70262326,0.4668360953,0.5160465882
W2V+UKB+LEXVEC,0.043,0.029,0.067,0.061,0.697,0.634,0.53410254,0.7497594673,0.7811887738,0.838262944,0.8433180812,0.840005829,0.795825687,0.7430039292,0.8502611625,0.7816777237,0.7366044581,0.8851832063,0.4583057016,0.8674752903,0.7263627319,0.4755006876,0.549386191
