Embeddings,Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
Normalize: False. Generate words: False,,,,,,,,,,,,,,,,,,,
GLOVE+W2V+jointcHYB,0.681,0.617,0.5137529484,0.7206701808,0.7689506234,0.8351793606,0.8424789535,0.8377525383,0.7969820128,0.7425641175,0.8455106113,0.7931742778,0.7295284734,0.8919146375,0.4321031864,0.8596862613,0.7050169035,0.4554061676,0.5122050757
GLOVE+W2V+UKB,0.698,0.633,0.5238471341,0.7503937854,0.7802104622,0.8456345123,0.8507928529,0.8475321607,0.8085740403,0.7611554415,0.8548761477,0.8021543901,0.7453012083,0.8970069215,0.4413542087,0.8799377368,0.7325561134,0.4646958084,0.5523592521
GLOVE+W2V+LEXVEC,0.648,0.582,0.4611330065,0.7242232761,0.7536415295,0.8285732474,0.8310889729,0.8295962462,0.7729994026,0.7233665057,0.827110205,0.7569606349,0.7253581877,0.827681922,0.4306371005,0.8202960288,0.6135824592,0.3594038458,0.5393542813
GLOVE+FT+jointcHYB,0.697,0.636,0.5363272253,0.7377061536,0.790678079,0.8541303697,0.8600308377,0.8562417413,0.8145687511,0.758852148,0.8632389254,0.8055990003,0.756441817,0.8982308181,0.4281574242,0.8623567856,0.7399285352,0.4732075451,0.5336083021
GLOVE+FT+UKB,0.715,0.651,0.5436945296,0.7661012183,0.8005355238,0.8628012048,0.8675142283,0.8646082724,0.8273055228,0.7800167266,0.8723376333,0.8166834075,0.7751398478,0.8942312989,0.4648678942,0.8843886105,0.7682638025,0.4793541348,0.5732302716
GLOVE+FT+LEXVEC,0.665,0.600,0.4801542491,0.742474835,0.7723318257,0.8451186027,0.8453598751,0.8453792624,0.7925205347,0.7410050919,0.8417664051,0.7645434685,0.756807092,0.8252778394,0.4349247482,0.8523423197,0.6394529576,0.3769531248,0.5579838488
GLOVE+jointcHYB+UKB,0.710,0.650,0.5591768023,0.74395288,0.7731404435,0.8442984786,0.8549853462,0.8480122246,0.8180186316,0.7586166819,0.8671818183,0.8237787014,0.7490980639,0.8939690354,0.4207143735,0.8941805327,0.8267015298,0.5422599199,0.489868023
GLOVE+jointcHYB+LEXVEC,0.683,0.620,0.5222565626,0.7361618592,0.7840835695,0.8425500782,0.8495240091,0.8449472154,0.8030480516,0.7490585577,0.8501119681,0.7948530227,0.7468306586,0.8557878329,0.4141461476,0.8510070575,0.7337378893,0.4480668594,0.5183558015
GLOVE+UKB+LEXVEC,0.695,0.632,0.526694553,0.7597656518,0.7918788385,0.8498741139,0.8541325761,0.8513796874,0.8163034445,0.7700787821,0.860495326,0.8037811977,0.7658054584,0.8538208563,0.4189969011,0.8567931934,0.7609597705,0.4540606957,0.5507740829
W2V+FT+jointcHYB,0.696,0.637,0.5427140956,0.7221921382,0.7729962916,0.8381858134,0.8451330791,0.8405452615,0.7928679645,0.7397040291,0.8455091767,0.7766448399,0.7286771651,0.9012905596,0.4630800335,0.878379931,0.7117820238,0.4911206639,0.5366667896
