Embeddings,Weigths,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
FT+LEXVEC,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9886922321
FT+LEXVEC,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9886922321
FT+SKE,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9995083579
FT+SKE,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9995083579
FT+SKE,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9995083579
FT+PDC,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9886922321
FT+PDC,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9886922321
FT+PDC,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9886922321
jointcHYB+UKB,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.918879056
jointcHYB+UKB,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.918879056
jointcHYB+UKB,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.918879056
jointcHYB+LEXVEC,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9970501475
jointcHYB+LEXVEC,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9970501475
jointcHYB+LEXVEC,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9970501475
jointcHYB+SKE,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
jointcHYB+SKE,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
jointcHYB+SKE,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
jointcHYB+PDC,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9778761062
jointcHYB+PDC,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9778761062
jointcHYB+PDC,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9778761062
UKB+LEXVEC,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9936086529
UKB+LEXVEC,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9936086529
UKB+LEXVEC,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9936086529
UKB+SKE,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UKB+SKE,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UKB+SKE,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UKB+PDC,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9690265487
UKB+PDC,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9690265487
UKB+PDC,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9690265487
LEXVEC+SKE,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9995083579
LEXVEC+SKE,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9995083579
LEXVEC+SKE,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9995083579
LEXVEC+PDC,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9832841691
LEXVEC+PDC,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9832841691
LEXVEC+PDC,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9832841691
SKE+PDC,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9995083579
SKE+PDC,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9995083579
SKE+PDC,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9995083579
FT+UKB+SKE,[2 3 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FT+jointcHYB+UKB,[3 1 2],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9975417896
FT+UKB+LEXVEC,[2 3 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9970501475
FT+jointcHYB+UKB,[2 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9975417896
FT+UKB+LEXVEC,[2 2 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9970501475
FT+UKB+SKE,[2 2 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FT+UKB+SKE,[1 2 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FT+UKB+SKE,[1 2 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FT+jointcHYB+UKB,[3 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9975417896
FT+UKB+LEXVEC,[3 2 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9970501475
FT+UKB+SKE,[1 3 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
W2V+FT+UKB,[1 2 3],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9950835792
FT+jointcHYB+UKB,[2 1 2],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9975417896
FT+jointcHYB+UKB,[3 2 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9975417896
GLOVE+FT+UKB,[1 2 3],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9965585054
GLOVE+FT+UKB,[1 2 2],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9965585054
FT+UKB+SKE,[3 2 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
