,vs mejor embedding,,,,,,,,,,,,,,,,,,,,
Embeddings,Media (Diferencia),Media Ponderada (Diferecia),Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
FT_retro_ppdb.txt,,,0.698,0.650,0.5841110465,0.7399063415,0.784216934,0.8425159663,0.8510411179,0.845539945,0.7858327508,0.7226188633,0.8431321079,0.7420529784,0.763975333,0.85631236,0.4937210284,0.8352064558,0.6803254454,0.4841727931,0.5935105714
FT_retro_WN.txt,,,0.655,0.625,0.5385507733,0.7036730438,0.7024610988,0.8136542866,0.8242464894,0.8171152485,0.7450511553,0.6704953658,0.8049741999,0.6939356606,0.7391126299,0.8150714161,0.3102089007,0.8147324366,0.706584398,0.4953750551,0.5521795055
FT_retro_WN+.txt,,,0.660,0.612,0.5780871064,0.6970983706,0.7539728787,0.8243348543,0.829856657,0.826289767,0.7500919558,0.6690476992,0.8349916873,0.7130234253,0.7284236477,0.8862759711,0.3046442096,0.874819232,0.6666748388,0.4923387791,0.4326355021
GLOVE_retro_ppdb.txt,,,0.670,0.615,0.55939363,0.7455223034,0.772383446,0.8388657194,0.8416275819,0.8399204548,0.7842332372,0.7289037087,0.8342987939,0.7704726881,0.7364927004,0.8089519332,0.4244570153,0.8078335823,0.6621255484,0.4197908161,0.5430615884
GLOVE_retro_WN.txt,,,0.642,0.602,0.523195014,0.726395289,0.7256209048,0.823778579,0.8296006555,0.8256840231,0.7570762894,0.6928121536,0.8103982779,0.7436278489,0.7073959573,0.7783982291,0.3168012596,0.778235272,0.6873449758,0.4334245707,0.515297455
GLOVE_retro_WN+.txt,,,0.645,0.587,0.5361659992,0.733885015,0.7528928975,0.8323752252,0.8360241724,0.8337726659,0.7652320902,0.6925230702,0.8339831903,0.7533886947,0.7164085747,0.8281627385,0.3289060212,0.8269723394,0.6412912758,0.4172435113,0.4318902361
jointcHYB_retro_ppdb.txt,,,0.679,0.638,0.6211855733,0.6748033192,0.7423467491,0.793373166,0.8051742254,0.7976378795,0.7408693124,0.6577959438,0.8267687793,0.762305142,0.6512081084,0.8468927274,0.3592654632,0.83787698,0.8294425935,0.5954008264,0.4206259964
jointcHYB_retro_WN.txt,,,0.641,0.597,0.5463935531,0.6537129392,0.6455165006,0.7631321445,0.7703929181,0.765717013,0.7382597017,0.6503573894,0.8164492594,0.7387976877,0.6571680166,0.8403361385,0.2483537498,0.8510070575,0.8327280401,0.5798331218,0.3474213729
jointcHYB_retro_WN+.txt,,,0.652,0.598,0.5858294361,0.6561042602,0.6830418866,0.7738595661,0.7824192143,0.7768229308,0.74532929,0.6515384694,0.8330457042,0.7597954017,0.6610937855,0.8631967783,0.2615947783,0.8921776396,0.830802183,0.5904195472,0.2844457927
LEXVEC_retro_ppdb.txt,,,0.666,0.619,0.5672929924,0.7473140808,0.7636646802,0.8210629371,0.8291048759,0.8237646639,0.7410647843,0.6607486437,0.8255795276,0.7279562127,0.7041407343,0.7723224568,0.4938718602,0.7804607089,0.6340775183,0.4368535311,0.5632391888
LEXVEC_retro_WN.txt,,,0.632,0.597,0.5203726125,0.7105974931,0.703449648,0.8004407819,0.8068835948,0.8020215651,0.6999219819,0.6152781886,0.7829056193,0.6867331414,0.6593551665,0.7638863124,0.3229029122,0.7771225536,0.6783147849,0.447464452,0.5240792872
LEXVEC_retro_WN+.txt,,,0.638,0.585,0.5518278594,0.7305200068,0.7545745309,0.8116767429,0.8146124774,0.8125006117,0.7160106936,0.6202810935,0.8207278398,0.7140353633,0.6569159994,0.8272229608,0.3123084805,0.8367642616,0.6189825188,0.4339119907,0.425310334
PDC_retro_ppdb.txt,,,0.635,0.571,0.5395692841,0.6967106363,0.7403678048,0.7919897887,0.7979058969,0.794290529,0.7798555133,0.7095883639,0.815365448,0.7791562556,0.7068776718,0.8177377623,0.3853895458,0.8129520871,0.5704476364,0.3838201309,0.4629741535
