,vs mejor embedding,,,,,,,,,,,,,,,,,,,,
PDC_retro_WN.txt,,,0.571,0.526,0.46015108,0.630265309,0.6276617254,0.73329225,0.734495745,0.7337774035,0.6949744841,0.5934799512,0.7316494452,0.7113396542,0.6033105773,0.7811301411,0.1762842637,0.7711138741,0.5995953747,0.3838695756,0.4246041876
PDC_retro_WN+.txt,,,0.577,0.515,0.5040391515,0.638225426,0.6800975914,0.7561459167,0.7441009295,0.752586061,0.730808309,0.6553932896,0.7811540194,0.746757485,0.6361530771,0.8169728269,0.165840664,0.825859621,0.5563046231,0.3733863363,0.3044978215
UKB_retro_ppdb.txt,,,0.634,0.619,0.6217713494,0.5371549233,0.7437284494,0.7742585736,0.7942195187,0.7811294322,0.7189978502,0.6380330967,0.7816738919,0.76570558,0.6095322108,0.8252559841,0.1393044453,0.8436631159,0.7985933167,0.6023800575,0.3646685676
UKB_retro_WN.txt,,,0.586,0.569,0.5217936529,0.5172415743,0.6390933924,0.7363001708,0.742244332,0.7381332245,0.6658654987,0.5503313192,0.7492738916,0.7149015872,0.5420939599,0.7963414273,0.02781219742,0.8510070575,0.7980188423,0.569195059,0.3209642078
UKB_retro_WN+.txt,,,0.601,0.574,0.5731989227,0.5224590267,0.6679752394,0.7630640721,0.7714496047,0.765968603,0.6897191654,0.5839493044,0.7879168334,0.7518074129,0.560742208,0.845909239,0.0229546273,0.8908423774,0.8103098595,0.5801547537,0.2436454733
W2V_retro_ppdb.txt,,,0.649,0.590,0.5434275105,0.6887412329,0.71441592,0.776101456,0.7829026082,0.7782926305,0.7158341872,0.6330785263,0.8037926691,0.677805913,0.6875600985,0.8119242535,0.5056592672,0.8205185725,0.6116046258,0.4429932994,0.5010735876
W2V_retro_WN.txt,,,0.606,0.568,0.4839792734,0.6425225035,0.6571238044,0.7525482153,0.7642467382,0.7560760918,0.6699341434,0.5817703328,0.7633877801,0.6232247354,0.6465675405,0.7663559609,0.3499197096,0.7651051945,0.6541649742,0.4517175682,0.4709329795
W2V_retro_WN+.txt,,,0.617,0.555,0.5201028492,0.6490750203,0.6984019725,0.7605908901,0.7680390714,0.7632152677,0.6772192457,0.5777690114,0.7909983067,0.6466378347,0.6282872883,0.8389155443,0.3578284305,0.8498943391,0.61561774,0.4383034354,0.3745049454
SKE_retro_ppdb.txt,,,0.655,0.592,0.5188846022,0.7618521245,0.7452903374,0.7978724532,0.8103966906,0.8019086383,0.7467739812,0.6776950795,0.788528384,0.7444136087,0.6945588279,0.7762782654,0.4916918367,0.7920329806,0.6333662643,0.3967372858,0.5394640251
SKE_retro_WN.txt,,,0.602,0.560,0.4576603505,0.7261424756,0.6674307162,0.7622549366,0.7719442141,0.7648860497,0.6900451285,0.6022428149,0.7427586914,0.6906870715,0.6590761473,0.7411568044,0.2769635419,0.7437410006,0.6490658297,0.4036224224,0.4988076882
SKE_retro_WN+.txt,,,0.616,0.555,0.497382879,0.7303616176,0.7250656363,0.786315526,0.7938330347,0.7889117676,0.7089762984,0.6066495556,0.7896272583,0.717409607,0.6545113346,0.8183934211,0.2664837425,0.8254145336,0.6186378342,0.3939718142,0.4041952353
