Embedding,Average,Weighted average,SimLex999,MTurk-287,MTurk-771,MEN_DEV,MEN_TEST,MEN_ALL,WS353_all,WS353_relatedness,WS353_similarity,WS353_set1,WS353_set2,RG65,VERB-143,MC-30,YP-130,SimVerb-3500,RW
FTUKB + PPA,0.752,0.704,0.644,0.728,0.795,0.852,0.863,0.856,0.828,0.776,0.857,0.819,0.778,0.898,0.617,0.890,0.790,0.593,0.635
FTUKB,0.749,0.700,0.643,0.773,0.810,0.859,0.867,0.862,0.818,0.769,0.875,0.804,0.761,0.885,0.568,0.874,0.809,0.576,0.625
