Embedding,SimLex999,MTurk-287,MTurk-771,MEN_DEV,MEN_TEST,MEN_ALL,WS353_all,WS353_relatedness,WS353_similarity,WS353_set1,WS353_set2,RG65,VERB-143,MC-30,YP-130,SimVerb-3500,RW
FTUKB + PPA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
FTUKB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
