Embedding,Preprocessing,Average,Weighted average,SimLex999,MTurk-287,MTurk-771,MEN_DEV,MEN_TEST,MEN_ALL,WS353_all,WS353_relatedness,WS353_similarity,WS353_set1,WS353_set2,RG65,VERB-143,MC-30,YP-130,SimVerb-3500,RW
Word2Vec,None,0.616,0.555,0.442,0.684,0.671,0.771,0.770,0.771,0.700,0.635,0.772,0.665,0.658,0.761,0.497,0.788,0.559,0.364,0.534
GLOVE WIKI 6B,None - lower,0.577,0.511,0.408,0.651,0.681,0.771,0.774,0.772,0.658,0.621,0.711,0.698,0.585,0.779,0.361,0.727,0.580,0.277,0.459
GLOVE CC 42B,L2 dimensionwise - lower,0.628,0.553,0.453,0.700,0.740,0.813,0.816,0.814,0.759,0.733,0.794,0.773,0.689,0.829,0.374,0.836,0.596,0.319,0.487
GLOVE CC 840B,L2 dimensionwise,0.629,0.571,0.453,0.721,0.736,0.829,0.829,0.829,0.784,0.738,0.819,0.773,0.727,0.757,0.392,0.788,0.597,0.338,0.530
FastText Wiki,None,0.630,0.562,0.450,0.705,0.710,0.791,0.789,0.791,0.733,0.682,0.812,0.729,0.663,0.846,0.463,0.836,0.519,0.357,0.523
FastText CC,None,0.675,0.620,0.503,0.726,0.762,0.835,0.839,0.837,0.791,0.737,0.840,0.743,0.767,0.863,0.447,0.852,0.625,0.426,0.595
UKB,None - lower,0.630,0.610,0.525,0.644,0.679,0.755,0.756,0.756,0.720,0.627,0.785,0.773,0.601,0.823,0.153,0.873,0.768,0.545,0.443
SketchEngine British National,None - lower,0.563,0.492,0.329,0.688,0.661,0.747,0.739,0.744,0.680,0.649,0.735,0.648,0.644,0.739,0.412,0.724,0.481,0.255,0.475
SketchEngine web,None - lower,0.610,0.545,0.412,0.743,0.714,0.789,0.790,0.789,0.743,0.686,0.770,0.729,0.709,0.714,0.470,0.712,0.582,0.315,0.515
Numberbatch,None - lower,0.743,0.708,0.651,0.720,0.817,0.857,0.865,0.860,0.813,0.758,0.838,0.802,0.761,0.910,0.521,0.887,0.763,0.602,0.626
Turian_100d,None,0.307,0.248,0.221,0.421,0.317,0.272,0.382,0.309,0.361,0.317,0.425,0.355,0.370,0.352,0.305,0.414,0.302,0.178,0.191
Senna,None - lower,0.414,0.370,0.270,0.587,0.496,0.572,0.564,0.569,0.498,0.401,0.607,0.475,0.466,0.493,0.356,0.574,0.160,0.166,0.385
Multilingual512,None - lower,0.562,0.503,0.405,0.537,0.647,0.758,0.760,0.759,0.683,0.646,0.743,0.730,0.609,0.756,0.261,0.817,0.598,0.292,0.423
SW2V_words and sense_wikipedia,None,0.444,0.370,0.246,0.488,0.502,0.637,0.656,0.643,0.528,0.386,0.679,0.560,0.448,0.777,0.261,0.775,0.199,0.145,0.320
Contex_to_vec ukwac,None - lower,0.588,0.531,0.408,0.678,0.678,0.753,0.761,0.756,0.702,0.645,0.724,0.667,0.661,0.737,0.475,0.689,0.524,0.320,0.500
Contex_to_vec mscc,None - lower,0.540,0.462,0.409,0.552,0.589,0.663,0.667,0.664,0.585,0.435,0.732,0.643,0.450,0.840,0.331,0.879,0.452,0.294,0.345
jointcHYB EN_ES,None - lower,0.654,0.606,0.541,0.625,0.692,0.777,0.783,0.780,0.756,0.668,0.825,0.773,0.668,0.863,0.304,0.877,0.816,0.558,0.378
jointcHYB EN_EU,None - lower,0.644,0.607,0.541,0.639,0.687,0.763,0.779,0.769,0.729,0.648,0.787,0.754,0.641,0.836,0.288,0.839,0.802,0.559,0.394
jointcHYB EN_IT,None - lower,0.617,0.565,0.467,0.631,0.671,0.761,0.766,0.763,0.758,0.695,0.806,0.766,0.673,0.821,0.263,0.842,0.774,0.515,0.288
Subword LexVec CC,None,0.630,0.573,0.477,0.717,0.738,0.807,0.805,0.807,0.752,0.696,0.809,0.723,0.719,0.744,0.441,0.784,0.578,0.352,0.539
LexVec CC WordsVectors,None - lower,0.606,0.543,0.444,0.716,0.720,0.793,0.799,0.795,0.719,0.668,0.762,0.750,0.646,0.752,0.376,0.785,0.550,0.304,0.508
LexVec CC WordsVectors + ContexVectors,None- lower,0.601,0.534,0.419,0.712,0.724,0.807,0.813,0.809,0.741,0.702,0.775,0.764,0.663,0.765,0.315,0.800,0.553,0.277,0.496
LexVec Wiki+NewsCrawls WordsVectors,None- lower,0.554,0.506,0.384,0.655,0.663,0.753,0.749,0.751,0.661,0.619,0.727,0.680,0.606,0.747,0.279,0.699,0.491,0.279,0.489
LexVec Wiki+NewsCrawls WordsVectors + ContexVectors,None- lower,0.559,0.499,0.362,0.649,0.666,0.765,0.766,0.765,0.683,0.663,0.734,0.706,0.608,0.793,0.235,0.742,0.520,0.255,0.476
PDC. Iter 20. Alpha 0.05. Dims 50,None- lower,0.538,0.456,0.309,0.701,0.614,0.720,0.720,0.720,0.703,0.641,0.750,0.745,0.595,0.763,0.315,0.815,0.338,0.196,0.447
PDC. Iter 20. Alpha 0.05. Dims 100,None- lower,0.573,0.494,0.361,0.709,0.663,0.752,0.760,0.755,0.746,0.684,0.785,0.762,0.658,0.774,0.332,0.809,0.434,0.240,0.475
