,vs media (NO MAPPING),,vs mejor word embedding,,,,,,,,,,,,,,,,,,,,
Embeddings,Media (Diferencia),Media Ponderada (Diferecia),Media (Diferencia),Media Ponderada (Diferecia),Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
Normalize: False. Generate words: False,,,,,,,,,,,,,,,,,,,,,,,
GLOVE + FT + jointcHYB,0.038,0.036,0.022,0.014,0.697,0.634,0.5361000945,0.7384742395,0.7892305451,0.8547373273,0.8600187798,0.8566488746,0.8164604494,0.7661628457,0.8611344233,0.8033137628,0.7598027972,0.8944279966,0.4282660232,0.8652498535,0.746058998,0.4710967809,0.5257085871
GLOVE + FT + UKB,0.045,0.046,0.039,0.032,0.714,0.652,0.5540800898,0.7642637518,0.8048460749,0.8636827497,0.8721576006,0.8666398925,0.8275192733,0.7852892177,0.8671445197,0.818921734,0.7738205074,0.9048311176,0.440791103,0.8768221252,0.7615916923,0.4831575401,0.5646226951
GLOVE + FT + LEXVEC,0.033,0.034,-0.010,-0.020,0.665,0.600,0.4827503142,0.7405081695,0.7700423216,0.8456104789,0.8474883072,0.8462178878,0.7920703902,0.7451276235,0.8383234569,0.7645870287,0.7565348234,0.8226114933,0.4484292297,0.8465561838,0.6216825486,0.3737984717,0.5664808601
GLOVE + jointcHYB + UKB,0.045,0.047,0.048,0.030,0.702,0.640,0.5647548339,0.7381328397,0.7786123011,0.8455915267,0.8571777112,0.8496565725,0.8146620538,0.7626496014,0.8641584795,0.823207392,0.7413815353,0.8956081826,0.4151597379,0.8868365911,0.7967632053,0.5347614093,0.4450064062
GLOVE + jointcHYB + LEXVEC,0.047,0.045,0.030,0.044,0.684,0.617,0.5234281991,0.7373670383,0.7809859974,0.8432544352,0.8490017008,0.8451132639,0.8081398685,0.7575499604,0.8517251328,0.7993464296,0.7518462522,0.8639180031,0.4370947163,0.867030203,0.7134206437,0.443023495,0.5095222551
GLOVE + UKB + LEXVEC,0.044,0.051,0.063,0.020,0.693,0.630,0.5361442015,0.7600636468,0.7962740663,0.8517949233,0.8587628222,0.8542673057,0.816398384,0.7756043617,0.8546279685,0.8082746046,0.7608858714,0.8664750728,0.4061963017,0.8710359893,0.7280970975,0.4501227973,0.5403334324
W2V + FT + jointcHYB,0.027,0.021,0.017,0.012,0.692,0.632,0.5370083108,0.7178542042,0.7722929174,0.8386566278,0.8434873844,0.8402837932,0.7927112323,0.7393774511,0.8459818648,0.7730678735,0.7258404708,0.8979904099,0.452553979,0.8757094068,0.7111528375,0.4837330309,0.5296750365
W2V + FT + UKB,0.034,0.025,0.032,0.030,0.707,0.650,0.5553851245,0.7464584239,0.78679008,0.8467249864,0.854169068,0.8493098127,0.799691201,0.7535106669,0.8528297453,0.7848911295,0.7342695482,0.8949962343,0.4735739106,0.8859464163,0.7210365333,0.4983171443,0.5668044368
W2V + FT + LEXVEC,0.015,0.012,-0.017,-0.022,0.658,0.598,0.480427202,0.7274677157,0.7585907559,0.8298387885,0.8338066652,0.8311518582,0.7598684133,0.7076195223,0.8192911262,0.726614222,0.727391577,0.8391778078,0.4650287815,0.848559077,0.5693944333,0.3857659921,0.5721157591
W2V + jointcHYB + UKB,0.040,0.030,0.040,0.030,0.694,0.640,0.5703709785,0.7081127631,0.7578390212,0.8297209298,0.8371466705,0.8323741815,0.7892232941,0.7341165834,0.8484399864,0.7971985744,0.6992879019,0.8925047305,0.4145845656,0.8821631737,0.7799639317,0.5478006005,0.4599470174
