,vs media (NO MAPPING),,vs mejor word embedding,,,,,,,,,,,,,,,,,,,,
Embeddings,Media (Diferencia),Media Ponderada (Diferecia),Media (Diferencia),Media Ponderada (Diferecia),Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
Normalize: False. Generate words: False,,,,,,,,,,,,,,,,,,,,,,,
GLOVE + W2V + FT,0.037,0.035,-0.010,-0.021,0.665,0.599,0.4732739391,0.7276659559,0.7550270432,0.838564303,0.8418344453,0.839796363,0.7801672043,0.7295167455,0.8307970287,0.7546720466,0.7349153424,0.8655790056,0.4516650764,0.8656949409,0.607085427,0.382926904,0.5673250928
GLOVE + W2V + jointcHYB,0.037,0.037,0.026,0.007,0.680,0.613,0.5130641898,0.7200208867,0.7641647544,0.8354643385,0.8395040833,0.8369976354,0.7983018912,0.7479059736,0.8448213044,0.793251346,0.7307420565,0.8882429478,0.4447851313,0.8730388825,0.6888714364,0.4438377965,0.5098267102
GLOVE + W2V + UKB,0.045,0.047,0.067,0.022,0.697,0.632,0.538822992,0.7508976356,0.7827030568,0.8462903245,0.8515828966,0.848306362,0.8072794104,0.7652824725,0.8488108206,0.8029217206,0.7426768741,0.8936193506,0.4437494191,0.8779348436,0.7216274212,0.4664190774,0.5369320563
GLOVE + W2V + LEXVEC,0.044,0.049,0.019,0.010,0.649,0.583,0.4657732968,0.7225551133,0.7475737146,0.8285126796,0.829847222,0.8290837396,0.7706748834,0.7229353178,0.8219701703,0.7512106824,0.7289749355,0.8254526818,0.4404069845,0.8496717954,0.5821915351,0.3581969024,0.5472190391
GLOVE + FT + jointcHYB,0.039,0.037,0.023,0.015,0.698,0.635,0.5350933492,0.7396106309,0.7896590866,0.8553507458,0.8606508725,0.8573018508,0.8159785219,0.7656859144,0.8605233,0.8024107254,0.7601170687,0.8937067718,0.4333359857,0.8688105525,0.7402075656,0.4672651933,0.5338053066
GLOVE + FT + UKB,0.047,0.049,0.040,0.035,0.715,0.655,0.5595580758,0.7656961076,0.8057590985,0.8638831346,0.8722898418,0.8668168598,0.8285170937,0.7857856463,0.8686142283,0.8208852959,0.7727029309,0.9044814328,0.4433351341,0.8770446689,0.7644257662,0.4908275695,0.5633287526
GLOVE + FT + LEXVEC,0.034,0.035,-0.010,-0.019,0.665,0.601,0.4842521181,0.740565281,0.7703174554,0.8458863506,0.8475981671,0.8464394544,0.7926308883,0.7457406602,0.8392085815,0.7645853533,0.7579591709,0.8210597673,0.4513674348,0.8465561838,0.618900451,0.3751518077,0.5671268197
GLOVE + jointcHYB + UKB,0.045,0.049,0.048,0.031,0.702,0.641,0.5666102339,0.7388897572,0.7783540032,0.8456068313,0.8572287699,0.849713391,0.8139797437,0.7616158752,0.8645357692,0.8250318962,0.7410942657,0.8949962343,0.4098243113,0.8857238726,0.7979860152,0.5380317192,0.4475499964
GLOVE + jointcHYB + LEXVEC,0.046,0.044,0.030,0.043,0.684,0.616,0.5215981595,0.7374759309,0.7807521416,0.8430637935,0.8486307618,0.8448571617,0.8076350246,0.7572413799,0.8507611073,0.7978469519,0.753041084,0.8633279101,0.441032434,0.8679203777,0.7091968888,0.4376819374,0.5147114332
GLOVE + UKB + LEXVEC,0.046,0.054,0.065,0.023,0.695,0.633,0.5421031516,0.7624750203,0.7973711844,0.8522625966,0.8595050303,0.8548226355,0.8172618431,0.7760505475,0.8565926008,0.8095613073,0.7623814739,0.8679393776,0.4085895009,0.867030203,0.7322442558,0.4583439669,0.5392012686
W2V + FT + jointcHYB,0.026,0.020,0.016,0.011,0.691,0.631,0.5330167283,0.7187453971,0.7720890545,0.8386866353,0.8435103119,0.8403265438,0.7918398616,0.7388371539,0.8455321297,0.7715851498,0.7266895289,0.8960234332,0.4522161156,0.8792701057,0.7008478605,0.4769369458,0.5384385499
W2V + FT + UKB,0.035,0.026,0.033,0.031,0.708,0.651,0.5574798059,0.7471201556,0.7875714293,0.8470919421,0.8546250667,0.8496928289,0.801378561,0.755489632,0.8545741724,0.7884630697,0.7356743944,0.895192932,0.4726870191,0.8859464163,0.7248143865,0.5018514045,0.5654174777
W2V + FT + LEXVEC,0.015,0.012,-0.017,-0.021,0.658,0.599,0.4803304483,0.7275055361,0.7587096279,0.8299333003,0.8339382342,0.8312486018,0.760437778,0.7081748174,0.8197674007,0.7274100342,0.7278431079,0.8397460455,0.464974482,0.848559077,0.5697801518,0.386162889,0.57243483
W2V + jointcHYB + UKB,0.039,0.031,0.040,0.030,0.694,0.640,0.5696011013,0.7091425465,0.7586204346,0.8300336113,0.8371888458,0.8326056892,0.7903528841,0.7371303996,0.8496995316,0.7981284181,0.7021981012,0.8924610199,0.4133779105,0.8739290573,0.7796383962,0.5476419936,0.4632750416
W2V + jointcHYB + LEXVEC,0.031,0.022,0.027,0.042,0.681,0.615,0.5229616785,0.7196340517,0.7669450245,0.8270124923,0.8342488174,0.8294226485,0.7828519755,0.7273420585,0.8375236887,0.767002947,0.7204678527,0.8783862092,0.4645903635,0.8821631737,0.6670195234,0.4505991258,0.5215730026
W2V + UKB + LEXVEC,0.038,0.028,0.062,0.060,0.692,0.633,0.5443588906,0.7453431002,0.7833806404,0.8375600289,0.845200139,0.8401136554,0.7932192136,0.7470600953,0.8441621232,0.7784291346,0.7351253568,0.8729660957,0.4530285967,0.8616891545,0.6963423396,0.4737497757,0.5438986634
FT + jointcHYB + UKB,0.034,0.036,0.037,0.039,0.712,0.659,0.5887655336,0.7306248381,0.7787349697,0.8481397974,0.8571466391,0.8513439725,0.8117167443,0.7622682813,0.8660972897,0.8134582739,0.740222706,0.9022959032,0.4222991138,0.8863915037,0.8062338266,0.5681588109,0.4812191544
FT + jointcHYB + LEXVEC,0.025,0.017,0.024,0.017,0.699,0.637,0.5474765362,0.7363001959,0.7922275603,0.848886362,0.8542184581,0.8506888763,0.8076041965,0.7533378167,0.8589137217,0.7834234843,0.7552349843,0.8898383844,0.4636954276,0.8788250184,0.7102008513,0.4741942252,0.5409180099
FT + UKB + LEXVEC,0.025,0.019,0.039,0.035,0.714,0.655,0.5658388462,0.7693984543,0.8058006383,0.8565867837,0.864321241,0.8592377726,0.8162281476,0.7728560073,0.8633343237,0.7970528151,0.7691529377,0.8888111855,0.4701972875,0.8814955426,0.7372613325,0.4970776149,0.5664719051
jointcHYB + UKB + LEXVEC,0.042,0.035,0.049,0.035,0.703,0.645,0.5761335625,0.7352952878,0.7729359784,0.8382567929,0.8501747834,0.8423811768,0.8074141809,0.7547554877,0.8618445314,0.8084304163,0.7358161541,0.8873250253,0.4076764653,0.9015244744,0.7899597867,0.5465039353,0.4649140435
GLOVE + W2V + FT + jointcHYB,0.033,0.031,0.012,0.003,0.687,0.623,0.5149940884,0.7304098451,0.7763555261,0.8448885832,0.8499570684,0.8467378571,0.8024140298,0.7533558141,0.8497468721,0.7826879863,0.7434884297,0.8933570871,0.446245184,0.8772672126,0.6856899423,0.441977751,0.5470019122
GLOVE + W2V + FT + UKB,0.040,0.040,0.025,0.019,0.700,0.639,0.5363611556,0.757089535,0.7915182556,0.8531216873,0.8597472633,0.8555406923,0.8114723022,0.7698909341,0.8553251655,0.7932865292,0.7573261276,0.8934445083,0.4507641073,0.8730388825,0.7058512592,0.4616718014,0.5670141981
GLOVE + W2V + FT + LEXVEC,0.034,0.034,-0.015,-0.023,0.660,0.597,0.4765516854,0.7306327068,0.7611544381,0.8380470032,0.8409355502,0.8390620866,0.7802697827,0.7327199094,0.8280082407,0.7526934062,0.7406569857,0.8428494976,0.4511381704,0.8425503975,0.5947779962,0.3766180956,0.5667223641
GLOVE + W2V + jointcHYB + UKB,0.043,0.044,0.048,0.030,0.702,0.640,0.5560888201,0.7378376369,0.7813969686,0.8459329073,0.8536426844,0.8486356077,0.8122992041,0.7657177848,0.8588348208,0.8126842419,0.7395131574,0.9014872573,0.4367226643,0.8924001832,0.7532727555,0.5062760588,0.4990307796
GLOVE + W2V + jointcHYB + LEXVEC,0.042,0.041,0.023,0.036,0.677,0.609,0.5065646539,0.729311528,0.7709632788,0.8361006411,0.8409678707,0.8377956636,0.7972800631,0.7492910242,0.8417133263,0.7825321747,0.7415630478,0.870846132,0.4513151464,0.8645822224,0.6662754423,0.420700073,0.532267083
GLOVE + W2V + UKB + LEXVEC,0.049,0.049,0.058,0.014,0.688,0.624,0.5260236563,0.7509610927,0.7861864393,0.8449185704,0.8513228138,0.8471600844,0.8055127976,0.7650796266,0.8480311363,0.7909677838,0.7530688359,0.8747145194,0.4287124856,0.870590902,0.6879686909,0.4385549947,0.5501209382
GLOVE + FT + jointcHYB + UKB,0.039,0.044,0.041,0.036,0.716,0.656,0.570726392,0.7530907163,0.7982118505,0.8597590653,0.8687210355,0.8629911883,0.8257727125,0.77825673,0.8699806483,0.8233498005,0.7614859125,0.9087869262,0.4447428984,0.8850562416,0.7879409195,0.5235763244,0.5183565491
GLOVE + FT + jointcHYB + LEXVEC,0.033,0.032,0.015,0.005,0.690,0.625,0.5234574954,0.7433782116,0.7888278464,0.8511897543,0.8558700588,0.8527861521,0.811021612,0.7623001517,0.8566872819,0.789692809,0.7613411526,0.8723322921,0.4502030127,0.8607989798,0.701247257,0.4372273211,0.5472182335
GLOVE + FT + UKB + LEXVEC,0.039,0.040,0.027,0.020,0.702,0.640,0.5416905235,0.7667149763,0.8026921085,0.8586006299,0.8653833173,0.860931625,0.820321462,0.7799353634,0.8610096164,0.8020304109,0.7742645379,0.8842871392,0.441273765,0.8710359893,0.7148130603,0.4553847054,0.5664824128
GLOVE + jointcHYB + UKB + LEXVEC,0.051,0.050,0.052,0.033,0.706,0.643,0.5605255587,0.7542024863,0.7921359712,0.8509557406,0.8602972226,0.8542422386,0.8214866543,0.7749902002,0.8636764667,0.8184492729,0.7549897175,0.8868004982,0.435403388,0.885501329,0.7691173073,0.5018710161,0.5039018335
W2V + FT + jointcHYB + UKB,0.039,0.032,0.057,0.044,0.711,0.654,0.57040997,0.734350537,0.7841031677,0.8480012768,0.855705227,0.8506833629,0.8076133358,0.7600043572,0.8586526315,0.8027793121,0.733800766,0.9039569057,0.4560251235,0.8912874648,0.7651014575,0.5317485798,0.5231034746
W2V + FT + jointcHYB + LEXVEC,0.025,0.017,0.033,0.050,0.687,0.623,0.5221238384,0.729292237,0.7784477,0.8383127431,0.8444237918,0.8403231993,0.7916849027,0.7399601173,0.8447696601,0.7660529986,0.7386438478,0.8867786429,0.4656481978,0.8812729989,0.6629544329,0.4460172159,0.5508987914
W2V + FT + UKB + LEXVEC,0.035,0.022,0.022,0.019,0.697,0.639,0.540116538,0.7535836518,0.7927934592,0.846365569,0.8542348855,0.8489978265,0.8007858706,0.7565252329,0.8505265564,0.7774071442,0.7489540541,0.8863196817,0.4667985423,0.8668076593,0.6806181538,0.4659084246,0.5690631974
W2V + jointcHYB + UKB + LEXVEC,0.049,0.033,0.049,0.032,0.703,0.642,0.5622485896,0.7393400495,0.7803530301,0.8397673932,0.8489231772,0.8429639209,0.8045909562,0.7549092155,0.8565151345,0.7961179452,0.7353661233,0.8866693664,0.4622454304,0.8912874648,0.742762609,0.5126792127,0.5096342063
FT + jointcHYB + UKB + LEXVEC,0.033,0.029,0.062,0.048,0.716,0.658,0.5774509885,0.7513433589,0.7959490403,0.8543571062,0.8633864901,0.8575248365,0.818428536,0.7702865022,0.8668533037,0.8054884243,0.7564035644,0.8942750095,0.4559446798,0.8972961444,0.7743368179,0.5296714701,0.5251909472
GLOVE + W2V + FT + jointcHYB + UKB,0.041,0.039,0.034,0.026,0.709,0.646,0.5543854986,0.745860911,0.7916541598,0.8533421166,0.8607945748,0.8560030445,0.8155497934,0.7700131665,0.8616185879,0.8087202595,0.7501083831,0.9031264045,0.4535756136,0.8937354454,0.7506602646,0.4954052294,0.5378110952
GLOVE + W2V + FT + jointcHYB + LEXVEC,0.036,0.032,0.007,-0.003,0.682,0.617,0.5091456194,0.7350021155,0.7779725784,0.8430676294,0.8478478185,0.8447444186,0.7997261213,0.7525121856,0.8454087574,0.7776500763,0.7491835698,0.8744741112,0.4565359408,0.8659174845,0.6581151698,0.4238250343,0.5520627577
GLOVE + W2V + FT + UKB + LEXVEC,0.041,0.038,0.017,0.010,0.692,0.630,0.5258409515,0.7548147214,0.7910833385,0.8503358311,0.8566132512,0.8525386526,0.8084506046,0.7679348407,0.8506527979,0.7886741694,0.7608281174,0.8804624623,0.4493261766,0.8663625719,0.6776691851,0.4394604958,0.5670605763
GLOVE + W2V + jointcHYB + UKB + LEXVEC,0.053,0.047,0.046,0.025,0.700,0.635,0.5462853829,0.7475118134,0.7878037665,0.8463395895,0.8539127965,0.8490335325,0.813895444,0.7697162093,0.8569189636,0.8045401513,0.7505801655,0.8886581984,0.4523609142,0.8846111542,0.7255748812,0.4778076497,0.5260936895
GLOVE + FT + jointcHYB + UKB + LEXVEC,0.037,0.040,0.035,0.028,0.710,0.648,0.558644022,0.7571253248,0.8005600706,0.857835127,0.8659520208,0.8606978595,0.8230284676,0.7775867014,0.8655435488,0.8109234027,0.7658009581,0.8898383844,0.4537666674,0.8830533484,0.7563667106,0.4916294494,0.5389821149
W2V + FT + jointcHYB + UKB + LEXVEC,0.039,0.028,0.033,0.027,0.708,0.647,0.5585708774,0.7464178113,0.791743052,0.8482652252,0.8567621417,0.851121358,0.8088666473,0.7618892109,0.8586110292,0.7942800379,0.7474321998,0.8978811334,0.4685843918,0.8863915037,0.7326299743,0.4996821294,0.5422662206
GLOVE + W2V + FT + jointcHYB + UKB + LEXVEC,0.043,0.038,0.028,0.019,0.703,0.639,0.5436365327,0.7508156489,0.7935037851,0.8514378466,0.8586858891,0.8540335463,0.8135061371,0.7695939769,0.8586268094,0.7974482081,0.7572473722,0.8939471801,0.4562765099,0.8830533484,0.7206726995,0.4717413715,0.5477925357
Normalize: False. Generate words: True,,,,,0.690,,,,,,,,,,,,,,,,,,
GLOVE + W2V,0.041,0.048,0.016,0.006,0.645,0.577,0.4533945392,0.7085587403,0.731527182,0.8252227793,0.8251690803,0.8253595807,0.7677359851,0.720710763,0.8164736469,0.7559671262,0.7100661402,0.8407732444,0.442761973,0.8498943391,0.5824541519,0.356310265,0.5392567555
GLOVE + FT,0.041,0.044,-0.007,-0.015,0.668,0.605,0.4793199838,0.7376789939,0.7685596025,0.8505902929,0.8543563231,0.8518797297,0.7977660828,0.7467837601,0.844889446,0.7754184514,0.7540199011,0.8458436732,0.4413079536,0.8374318927,0.6371824158,0.3816838039,0.5711759634
GLOVE + jointcHYB,0.046,0.050,0.033,0.017,0.687,0.623,0.5340416062,0.7268318745,0.7743342696,0.8407127867,0.8478950059,0.843166787,0.8084053174,0.7513228568,0.8549457239,0.8126222523,0.7405639793,0.8841778627,0.4063431114,0.8643596787,0.7641166442,0.4840246514,0.4714830807
GLOVE + UKB,0.054,0.064,0.075,0.035,0.705,0.645,0.5512423962,0.7544806827,0.7908388784,0.8530346268,0.8628909325,0.8565832351,0.8169146862,0.7672996821,0.860058502,0.8265648818,0.7462036157,0.89357564,0.4158978086,0.8694781835,0.7781529694,0.4945391128,0.536161899
GLOVE + LEXVEC,0.046,0.054,0.012,0.005,0.642,0.578,0.4651578693,0.7298638594,0.7523636682,0.8322979543,0.8318433229,0.8322092796,0.777290235,0.7318504096,0.8224156017,0.7614992775,0.7377640375,0.7773054643,0.4124668859,0.8227440093,0.6138943167,0.3450378318,0.5353573209
W2V + FT,0.016,0.010,-0.014,-0.019,0.661,0.601,0.4761842236,0.721027064,0.7439518488,0.8250576362,0.8277371018,0.8261385805,0.7543741945,0.7029536939,0.8167046114,0.722762491,0.7088923098,0.8560500965,0.4707362601,0.8639145914,0.5875259405,0.3976090065,0.5784714327
W2V + jointcHYB,0.021,0.020,0.027,0.014,0.681,0.620,0.5404644891,0.6934521201,0.7442799251,0.8185860142,0.8224797232,0.8199489033,0.775325013,0.7158735842,0.8335772094,0.7734448372,0.690384792,0.8930074023,0.4448977525,0.8757094068,0.7279685247,0.5031622375,0.472975024
W2V + UKB,0.035,0.025,0.067,0.033,0.697,0.643,0.5593617459,0.7358199192,0.759764015,0.8282385904,0.8351474545,0.830727418,0.7751644614,0.7246735676,0.8361816562,0.7790121717,0.6917903883,0.8847461004,0.4428472565,0.8806053679,0.7422209617,0.5166031388,0.5394006369
W2V + LEXVEC,0.017,0.019,0.007,0.005,0.637,0.578,0.4670832604,0.7128596152,0.7367113116,0.8120393233,0.8149512399,0.8130260727,0.7349785572,0.6803935661,0.7983314617,0.710624261,0.6995549202,0.8087989461,0.4563851089,0.8191833104,0.5442734872,0.36384563,0.5498890921
FT + jointcHYB,0.030,0.028,0.032,0.032,0.707,0.652,0.5730299332,0.717857504,0.7802649758,0.8479102926,0.8516199887,0.8493489062,0.809869924,0.7518290339,0.8615733992,0.7994871627,0.746661147,0.9122182077,0.4205635416,0.8888394843,0.7750617499,0.5383444936,0.5078376516
FT + UKB,0.021,0.031,0.053,0.059,0.728,0.679,0.5916682593,0.7511481646,0.7960602668,0.8560878261,0.8655974432,0.8595597806,0.817395386,0.7749650788,0.8646333194,0.8108295806,0.7618346864,0.9048966835,0.4676150456,0.8886169406,0.7919731828,0.5560304425,0.5839657563
FT + LEXVEC,0.006,0.003,-0.009,-0.013,0.666,0.607,0.4965876294,0.7413714412,0.7740069002,0.8407458581,0.8424089827,0.8411979552,0.7758400875,0.7217099941,0.8358502725,0.7412337107,0.7498188633,0.8206445167,0.4697025589,0.8443307469,0.5960172196,0.3900492958,0.5778187479
jointcHYB + UKB,0.034,0.035,0.006,0.007,0.660,0.617,0.5563953121,0.6508456893,0.708042494,0.7911865439,0.8023112797,0.7950994022,0.7587759261,0.6918474175,0.8310229722,0.7826276721,0.6602012244,0.8763536666,0.2635978258,0.8935129017,0.8045787931,0.5688802883,0.3843082983
jointcHYB + LEXVEC,0.033,0.023,0.040,0.025,0.694,0.631,0.555817155,0.7168561494,0.771316491,0.8321566669,0.8418616042,0.8354471357,0.7999675624,0.7370617845,0.8542937156,0.7950289391,0.7336552561,0.8731190828,0.4483769413,0.8948481638,0.7435969647,0.5020915947,0.4886150839
UKB + LEXVEC,0.031,0.023,0.078,0.040,0.708,0.650,0.567419542,0.7678592365,0.7897021319,0.8420346067,0.8505313897,0.8450192369,0.8073188321,0.7586800478,0.8576427,0.7946854833,0.754208914,0.8694911036,0.4349448591,0.8883943969,0.7616792313,0.5109269316,0.543965968
GLOVE + W2V + FT,0.037,0.034,-0.010,-0.021,0.665,0.599,0.4726454703,0.7256487786,0.7551333865,0.8387410978,0.8417956547,0.8399093089,0.7832018605,0.7342766853,0.8304355191,0.7591218933,0.7353961253,0.8646829385,0.4535273474,0.8656949409,0.6078623352,0.3815311344,0.5679573567
GLOVE + W2V + jointcHYB,0.038,0.040,0.027,0.009,0.681,0.615,0.5156680183,0.7181001643,0.7651926963,0.8357206256,0.840027412,0.8373054366,0.7999024961,0.7511095125,0.8446333768,0.7962100919,0.7308493139,0.8876091442,0.4364210005,0.8701458146,0.6998904031,0.4488089392,0.5139270244
GLOVE + W2V + UKB,0.044,0.047,0.067,0.022,0.697,0.632,0.5336372712,0.7520723552,0.7814939528,0.8458428105,0.851706663,0.8480646771,0.806484837,0.7680259526,0.8455722974,0.8001690481,0.7440374673,0.8886144878,0.4498953156,0.878379931,0.7140853927,0.4584083649,0.5519607411
GLOVE + W2V + LEXVEC,0.044,0.049,0.019,0.010,0.649,0.583,0.4652714678,0.7218971891,0.7476571868,0.8289119338,0.8302192593,0.8294843255,0.7732026497,0.7273015643,0.8214092566,0.7544559208,0.7284558999,0.823988377,0.4401736978,0.8530099507,0.5812805828,0.3574940673,0.545731758
GLOVE + FT + jointcHYB,0.039,0.038,0.023,0.016,0.698,0.636,0.5361000945,0.7384742395,0.7892305451,0.8547373273,0.8600187798,0.8566488746,0.8164604494,0.7661628457,0.8611344233,0.8033137628,0.7598027972,0.8944279966,0.4282660232,0.8652498535,0.746058998,0.4710967809,0.5377170661
GLOVE + FT + UKB,0.048,0.049,0.041,0.034,0.716,0.654,0.5540800898,0.7675614953,0.8048258614,0.8636827497,0.8721576006,0.8666398925,0.8283400369,0.786823122,0.8674206729,0.8185246656,0.7766887039,0.9048311176,0.4511844255,0.8768221252,0.7615916923,0.4831575401,0.5768398668
GLOVE + FT + LEXVEC,0.033,0.034,-0.010,-0.020,0.665,0.600,0.4827503142,0.7405081695,0.7700423216,0.8456104789,0.8474883072,0.8462178878,0.7920703902,0.7451276235,0.8383234569,0.7645870287,0.7565348234,0.8226114933,0.4484292297,0.8465561838,0.6216825486,0.3737984717,0.56557285
GLOVE + jointcHYB + UKB,0.050,0.056,0.053,0.039,0.707,0.649,0.5647548339,0.7420090591,0.7785518832,0.8455915267,0.8571777112,0.8496565725,0.8150701848,0.7633305034,0.8642567469,0.8232023659,0.7429011394,0.8956081826,0.4238416212,0.8868365911,0.7967632053,0.5347614093,0.4928111425
GLOVE + jointcHYB + LEXVEC,0.048,0.046,0.031,0.046,0.685,0.619,0.5234281991,0.7373670383,0.7809859974,0.8432544352,0.8490017008,0.8451132639,0.8081398685,0.7575499604,0.8517251328,0.7993464296,0.7518462522,0.8639180031,0.4370947163,0.867030203,0.7134206437,0.443023495,0.5183619079
GLOVE + UKB + LEXVEC,0.047,0.053,0.066,0.022,0.696,0.632,0.5361442015,0.7680285403,0.7961346666,0.8517949233,0.8587628222,0.8542673057,0.8166847033,0.7763951229,0.854639445,0.8074988972,0.7629035096,0.8664750728,0.4195419069,0.8710359893,0.7280970975,0.4501227973,0.5490420554
W2V + FT + jointcHYB,0.028,0.023,0.018,0.014,0.693,0.634,0.5370083108,0.716695222,0.7722929174,0.838357509,0.8433802315,0.8400714232,0.7926363446,0.7416844941,0.844940373,0.7731885019,0.7258404708,0.8979904099,0.4530446854,0.8757094068,0.7111528375,0.4837330309,0.539703815
W2V + FT + UKB,0.036,0.027,0.034,0.032,0.709,0.652,0.5553851245,0.7544187485,0.7867158111,0.846706945,0.8546752131,0.8494718506,0.8000406768,0.7570902766,0.8506987038,0.7843198202,0.7359046602,0.8949962343,0.4759932541,0.8859464163,0.7210365333,0.4983171443,0.5771380234
W2V + FT + LEXVEC,0.015,0.011,-0.017,-0.022,0.658,0.598,0.480427202,0.7285886236,0.7585907559,0.8296697158,0.8336818906,0.8310218433,0.762265092,0.7125571866,0.8192911262,0.7287419725,0.727391577,0.8391778078,0.4652439683,0.848559077,0.5693944333,0.3857659921,0.5702576775
W2V + jointcHYB + UKB,0.044,0.037,0.044,0.036,0.698,0.646,0.5703709785,0.7199340773,0.7577275722,0.8306036751,0.8391149104,0.833587696,0.7906967673,0.7371543961,0.8477650251,0.7985623452,0.701639313,0.8925047305,0.4119017691,0.8821631737,0.7799639317,0.5478006005,0.4935989514
W2V + jointcHYB + LEXVEC,0.033,0.024,0.028,0.045,0.682,0.618,0.5269757328,0.7167213664,0.7673210162,0.8271290989,0.8349469591,0.8297502653,0.7853201317,0.7306757037,0.8387889722,0.7708647303,0.721552427,0.8831725191,0.4661871704,0.8763770378,0.6760442431,0.4580160586,0.5188666708
W2V + UKB + LEXVEC,0.039,0.027,0.062,0.060,0.692,0.633,0.5416915406,0.7597973804,0.7823228365,0.8369183487,0.8450080043,0.8395985424,0.791052245,0.7459341324,0.8418790182,0.7733342612,0.7357636505,0.866125388,0.4612418956,0.8605764361,0.691754751,0.4686395105,0.5516956183
FT + jointcHYB + UKB,0.039,0.044,0.042,0.047,0.717,0.667,0.5887823122,0.7346904138,0.7775269392,0.847626236,0.8566780903,0.8507965469,0.812067175,0.7621546727,0.8663856366,0.8134113629,0.7424481084,0.9024926009,0.4310192079,0.8903972901,0.8057769827,0.5686816537,0.5253571615
FT + jointcHYB + LEXVEC,0.027,0.020,0.027,0.020,0.702,0.640,0.5510394463,0.7348815468,0.7914069113,0.8485781264,0.8542966937,0.8504840652,0.8082710924,0.7538196224,0.8585665578,0.7843985637,0.7551607292,0.8907781621,0.4616360696,0.8852787853,0.7202760385,0.4811145883,0.5421946364
FT + UKB + LEXVEC,0.027,0.021,0.041,0.037,0.716,0.657,0.5635443804,0.7755966994,0.8057307813,0.8564931744,0.8641781183,0.8590996886,0.8154353475,0.7730629775,0.8620374799,0.7933183617,0.7721148906,0.8910185704,0.4794563541,0.8792701057,0.7332208623,0.493239161,0.5813007118
jointcHYB + UKB + LEXVEC,0.043,0.037,0.050,0.038,0.704,0.648,0.5763878893,0.7352305614,0.7721409235,0.8377931183,0.8500897657,0.8420773683,0.8065724106,0.7535732828,0.8620181133,0.8045099942,0.7355123833,0.8881555266,0.4016552564,0.9033048239,0.7917625422,0.5465947832,0.4792354238
GLOVE + W2V + FT + jointcHYB,0.034,0.033,0.014,0.004,0.689,0.624,0.5169539032,0.7276321967,0.7768802649,0.8448038731,0.8499566182,0.8466646971,0.8046299687,0.75751809,0.8495582273,0.7863453716,0.7438657055,0.8946246943,0.4470496207,0.8772672126,0.6926246694,0.4458535,0.5462274724
GLOVE + W2V + FT + UKB,0.040,0.039,0.026,0.018,0.701,0.638,0.53197054,0.7578154853,0.7899261166,0.8525286898,0.859494947,0.855026876,0.8117043313,0.7727446484,0.8528993216,0.7927889372,0.760515346,0.8928544153,0.4647673396,0.8730388825,0.7016794806,0.4558210169,0.5727630053
GLOVE + W2V + FT + LEXVEC,0.033,0.033,-0.015,-0.023,0.660,0.597,0.4760959554,0.7296481049,0.7609373264,0.8381364261,0.8408565224,0.839133941,0.7828191013,0.736460371,0.8284199599,0.7552852408,0.7408107462,0.8415163245,0.4515182667,0.8398798732,0.5957737519,0.3756767746,0.56458787
GLOVE + W2V + jointcHYB + UKB,0.046,0.048,0.051,0.033,0.705,0.643,0.5542627843,0.7409696303,0.7809281455,0.8457456104,0.8540398219,0.8486337037,0.8135027269,0.7689475699,0.8577366638,0.8124831946,0.7415390461,0.8983182393,0.4456659895,0.8866140474,0.7543615213,0.5044332735,0.5233722454
GLOVE + W2V + jointcHYB + LEXVEC,0.043,0.043,0.024,0.038,0.678,0.611,0.5092213878,0.7275829539,0.7717793457,0.8365064283,0.8416040002,0.8382646027,0.7991770813,0.7529966158,0.8421393912,0.7855864181,0.7406922381,0.8737528864,0.4493523208,0.8632469603,0.6701080074,0.4252000258,0.530258624
GLOVE + W2V + UKB + LEXVEC,0.049,0.047,0.059,0.013,0.689,0.623,0.5217868163,0.7570433381,0.7846906285,0.8442882733,0.8507140653,0.8465697066,0.8053885304,0.766835124,0.8449726506,0.7903445373,0.7539861488,0.8689010106,0.4466252803,0.8732614262,0.6859580304,0.4326492996,0.5529969277
GLOVE + FT + jointcHYB + UKB,0.041,0.047,0.043,0.039,0.718,0.659,0.5686990597,0.7546022667,0.7971335058,0.8593485456,0.8682913197,0.8625846287,0.8254004566,0.7777831731,0.8698457995,0.8221820509,0.7626837446,0.9078690037,0.4499777704,0.8846111542,0.7869096011,0.5217435104,0.5414383471
GLOVE + FT + jointcHYB + LEXVEC,0.034,0.034,0.016,0.006,0.691,0.626,0.5254424841,0.7428827378,0.7887139623,0.8510847094,0.8561218229,0.8527353367,0.8118365101,0.7627054684,0.8570244039,0.7913950093,0.7608498689,0.8751297701,0.4438841622,0.8607989798,0.7072081131,0.4414214674,0.5468165689
GLOVE + FT + UKB + LEXVEC,0.039,0.038,0.027,0.018,0.702,0.638,0.5373292705,0.7704444827,0.8007275388,0.8580134129,0.8649452225,0.860409687,0.8190453704,0.7792330894,0.8589825807,0.7993447542,0.774530056,0.8809214235,0.4554941952,0.8710359893,0.7110297358,0.4493842174,0.5706333294
