,,vs mejor embedding,,,,,,,,,,,,,,,,,,,,
Embeddings,Pesos,Media (Diferencia),Media Ponderada (Diferecia),Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
GLOVE+W2V,"[1,1]",-0.018,-0.018,0.611,0.551,0.4418900193,0.6876059355,0.671294738,0.7722679858,0.770591733,0.7715967679,0.6897462598,0.6253087449,0.7711386265,0.6530041079,0.6528192187,0.7607828604,0.4788208491,0.7880271942,0.5595162087,0.3634869584,0.5080352579
GLOVE+W2V,"[2,1]",-0.018,-0.018,0.611,0.551,0.4419646804,0.6876960447,0.6713946402,0.7723025719,0.7705889841,0.7715914437,0.6898526576,0.6253657367,0.7712447841,0.6531146839,0.6523601873,0.7607828604,0.4787685607,0.7880271942,0.5589554122,0.3634720107,0.5080177814
GLOVE+W2V,"[1,2]",-0.018,-0.018,0.611,0.551,0.4419737498,0.6877432569,0.6713566614,0.7722941828,0.7705728928,0.7716031853,0.6897541714,0.6254013565,0.7711558412,0.6528030606,0.6528949739,0.7607828604,0.4785191854,0.7880271942,0.5596994934,0.3635184076,0.5080179763
GLOVE+FT,"[1,1]",0.000,0.000,0.674,0.618,0.5030758392,0.7263145715,0.7615916332,0.8354070138,0.8385359016,0.8365277456,0.7855720762,0.7341627017,0.8338167812,0.7358372664,0.7629635137,0.8626941065,0.4467137684,0.8518972323,0.6249379037,0.4260353067,0.5862150743
GLOVE+FT,"[2,1]",0.000,0.000,0.674,0.618,0.5030765312,0.7263216787,0.7616285385,0.8354181044,0.8385895891,0.8365452403,0.7854100242,0.7340614663,0.8339021376,0.7355490986,0.7630482695,0.8616887629,0.4476087042,0.8518972323,0.6253673918,0.4260133138,0.5861374502
GLOVE+FT,"[1,2]",0.000,0.000,0.674,0.618,0.5031024634,0.7261724274,0.7616325707,0.8354221706,0.838537018,0.8365457404,0.7855709849,0.7341000858,0.8338813365,0.7358707743,0.7630287682,0.8626941065,0.4471682751,0.8518972323,0.6249379037,0.4260410242,0.5862166354
GLOVE+jointcHYB,"[1,1]",0.002,0.004,0.653,0.601,0.5410352018,0.6246683266,0.6922837548,0.7771675558,0.7832959082,0.7795597585,0.7561566305,0.6683559238,0.8252847252,0.7729405436,0.6680812642,0.8632623442,0.3046884536,0.8772672126,0.8161147868,0.557873929,0.3727126218
GLOVE+jointcHYB,"[2,1]",0.002,0.004,0.653,0.601,0.540979215,0.6245297361,0.6923107236,0.7771761991,0.783279967,0.7795628761,0.7560634642,0.6681538279,0.8253040918,0.7728685017,0.6680362611,0.8632623442,0.3049981618,0.8772672126,0.8162625088,0.5578692566,0.3727372543
GLOVE+jointcHYB,"[1,2]",0.002,0.004,0.653,0.601,0.5410295688,0.6245627338,0.692278073,0.7771540532,0.783301484,0.7795532172,0.7561472184,0.6683652974,0.825378689,0.7729405436,0.6681315176,0.8632623442,0.3046884536,0.8772672126,0.8161147868,0.5578836626,0.3726974181
