Embeddings,Weigths,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
UKB+LEXVEC,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
UKB+LEXVEC,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
UKB+LEXVEC,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
UKB+PDC,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9808259587
UKB+PDC,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9808259587
UKB+PDC,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9808259587
LEXVEC+PDC,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9832841691
LEXVEC+PDC,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9832841691
LEXVEC+PDC,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9832841691
GLOVE+W2V+FT,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9852507375
GLOVE+W2V+jointcHYB,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+W2V+UKB,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
GLOVE+W2V+LEXVEC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9877089479
GLOVE+W2V+PDC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9891838741
GLOVE+FT+jointcHYB,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+FT+UKB,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+FT+LEXVEC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9886922321
GLOVE+FT+PDC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9906588004
GLOVE+jointcHYB+UKB,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+jointcHYB+LEXVEC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+jointcHYB+PDC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+UKB+LEXVEC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
GLOVE+UKB+PDC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+LEXVEC+PDC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9926253687
W2V+FT+jointcHYB,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+FT+UKB,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+FT+LEXVEC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9886922321
W2V+FT+PDC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9886922321
W2V+jointcHYB+UKB,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
W2V+jointcHYB+LEXVEC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V+jointcHYB+PDC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9926253687
W2V+UKB+LEXVEC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
W2V+UKB+PDC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9926253687
W2V+LEXVEC+PDC,[1 1 1],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9832841691
